Crop,N,P,K,pH
Rice,80,40,40,5.5
Jowar(Sorghum),80,40,40,5.5
Barley(JAV),70,40,45,5.5
Maize,80,40,20,5.5
Ragi( naachnnii),50,40,20,5.5
Chickpeas(Channa),40,60,80,5.5
French Beans(Farasbi),90,125,60,5
Fava beans (Papdi - Val),90,125,60,5
Lima beans(Pavta),40,60,20,5
Cluster Beans(Gavar),25,50,25,5
Soyabean,20,60,20,5.5
Black eyed beans( chawli),20,60,20,5.5
Kidney beans,20,60,20,5.5
pigeon peas(Toor Dal),20,60,20,5.5
Moth bean(Matki),20,40,20,5.5
Mung beans,20,40,20,5.5
Green Peas,40,35,55,6
Horse Gram(kulthi),20,60,20,6
Black Gram,40,60,20,5
Rapeseed (Mohri),50,40,20,5
Coriander seeds,90,20,20,6.5
Mustard seeds,100,30,15,6.5
sesame seed,30,15,30,6.5
Cumin seeds,90,60,20,6.5
Lentils(Masoor Dal),20,60,20,5.5
Brinjal,80,15,40,6.5
Beetroot,120,50,100,5.5
Bitter Gourd,60,10,20,6.5
Bottle Gourd,100,50,50,6.5
Capsicum,100,20,60,6.5
Cabbage,100,65,70,6.5
Carrot,40,45,60,5.5
Cauliflower,80,70,50,6.5
Cucumber,60,60,85,6.5
Coriander leaves,10,20,20,6.5
Curry leaves,20,20,20,6.5
Drumstick – moringa,40,20,10,6.5
Chili,120,20,80,6.5
Lady Finger,80,10,40,6.5
Mushroom,100,50,60,6.5
Onion,120,60,65,6
Potato,180,60,90,5
Pumpkin,80,50,30,5.5
Radish,25,100,50,6
Olive,100,60,30,6.5
Sweet Potato,90,20,120,5
Fenugreek Leaf(methi),30,25,40,6
Spinach,60,60,50,6
Ridgegourd,90,50,20,6.5
Gooseberry(Amla),20,50,20,4.5
Jambun(Syzygium cumini),10,10,10,4.2
Ziziphus mauritiana(Bor),20,10,10,6
Garcinia indica(kokam),40,25,50,4.2
Tamarind,20,15,25,3.1
Tapioca(Suran),50,50,50,5.5
Garlic,50,10,60,5.5
