Commodity,count
Ajwan,7
Alasande Gram,1
Almond(Badam),1
Alsandikai,6
Amaranthus,84
Amla(Nelli Kai),12
Amphophalus,65
Anthorium,1
Apple,488
Arecanut(Betelnut/Supari),75
Arhar (Tur/Red Gram)(Whole),139
Arhar Dal(Tur Dal),130
Ashgourd,111
Bajra(Pearl Millet/Cumbu),173
Banana,669
Banana - Green,242
Barley (Jau),83
Beans,71
Beetroot,185
Bengal Gram Dal (Chana Dal),68
Bengal Gram(Gram)(Whole),348
Betal Leaves,15
Bhindi(Ladies Finger),860
Bitter gourd,610
Black Gram (Urd Beans)(Whole),102
Black Gram Dal (Urd Dal),82
Black pepper,33
Bottle gourd,693
Brinjal,1033
Broomstick(Flower Broom),1
Bull,1
Bunch Beans,5
Cabbage,531
Calf,1
Capsicum,234
Cardamoms,3
Carnation,1
Carrot,280
Cashewnuts,4
Castor Seed,101
Cauliflower,465
Chapparad Avare,5
Cherry,1
Chikoos(Sapota),21
Chili Red,7
Chilly Capsicum,40
Chow Chow,6
Chrysanthemum,1
Chrysanthemum(Loose),3
Cinamon(Dalchini),1
Cloves,3
Cluster beans,98
Cock,8
Cocoa,3
Coconut,76
Coconut Oil,16
Coconut Seed,15
Coffee,5
Colacasia,207
Copra,37
Coriander(Leaves),144
Corriander seed,61
Cotton,120
Cow,3
Cowpea (Lobia/Karamani),8
Cowpea(Veg),134
Cucumbar(Kheera),712
Cummin Seed(Jeera),37
Custard Apple (Sharifa),1
Drumstick,159
Dry Chillies,21
Dry Fodder,1
Dry Grapes,1
Duck,1
Duster Beans,5
Egg,1
Elephant Yam (Suran),57
Field Pea,34
Firewood,8
Fish,87
Foxtail Millet(Navane),2
French Beans (Frasbean),121
Garlic,319
Ghee,4
Gingelly Oil,4
Ginger(Dry),43
Ginger(Green),254
Gladiolus Cut Flower,1
Goat,4
Gram Raw(Chholia),4
Grapes,30
Green Avare (W),10
Green Chilli,931
Green Fodder,2
Green Gram (Moong)(Whole),96
Green Gram Dal (Moong Dal),44
Green Peas,17
Ground Nut Seed,17
Groundnut,119
Groundnut (Split),10
Groundnut pods (raw),8
Guar,100
Guar Seed(Cluster Beans Seed),35
Guava,64
Gur(Jaggery),201
He Buffalo,1
Hybrid Cumbu,5
Indian Beans (Seam),15
Isabgul (Psyllium),9
Jack Fruit,66
Jaffri,1
Jamun(Narale Hannu),3
Jarbara,1
Jasmine,2
Jowar(Sorghum),116
Jute,28
Kabuli Chana(Chickpeas-White),15
Kakada,2
Karbuja(Musk Melon),11
Kartali (Kantola),13
Knool Khol,19
Kodo Millet(Varagu),1
Kulthi(Horse Gram),11
Lak(Teora),6
Leafy Vegetable,47
Lemon,325
Lentil (Masur)(Whole),128
Lilly,1
Lime,46
Linseed,6
Litchi,2
Little gourd (Kundru),89
Long Melon(Kakri),8
Lotus,1
Mahua,7
Mahua Seed(Hippe seed),10
Maize,297
Mango,308
Mango (Raw-Ripe),62
Marigold(Calcutta),5
Marigold(loose),3
Mashrooms,15
Masur Dal,52
Mataki,4
Methi Seeds,24
Methi(Leaves),48
Mint(Pudina),17
Moath Dal,3
Mousambi(Sweet Lime),215
Mustard,298
Mustard Oil,80
Neem Seed,2
Niger Seed (Ramtil),1
Nutmeg,5
Onion,1134
Onion Green,39
Orange,20
Orchid,1
Ox,2
Paddy(Dhan)(Basmati),13
Paddy(Dhan)(Common),470
Papaya,201
Papaya (Raw),32
Patti Calcutta,1
Peach,4
Pear(Marasebu),98
Peas cod,19
Peas Wet,80
Peas(Dry),41
Pegeon Pea (Arhar Fali),5
Pepper ungarbled,6
Pineapple,95
Plum,77
Pointed gourd (Parval),196
Pomegranate,291
Potato,1205
Pumpkin,588
Raddish,169
Ragi (Finger Millet),13
Raibel,1
Rajgir,7
Resinwood,1
Rice,443
Ridgeguard(Tori),290
Rose(Local),2
Rose(Loose)),5
Round gourd,19
Rubber,17
Sabu Dan,2
Safflower,4
Same/Savi,1
Season Leaves,1
Seemebadnekai,6
Seetapal,6
"Sesamum(Sesame,Gingelly,Til)",93
She Buffalo,1
Sheep,1
Snakeguard,128
Soanf,6
Soyabean,142
Spinach,124
Sponge gourd,143
Squash(Chappal Kadoo),31
Sugar,24
Sunflower,8
Surat Beans (Papadi),3
Suva (Dill Seed),4
Suvarna Gadde,2
Sweet Potato,25
Sweet Pumpkin,43
T.V. Cumbu,9
Tamarind Fruit,7
Tamarind Seed,6
Tapioca,64
Taramira,5
Tender Coconut,18
Thinai (Italian Millet),2
Thondekai,9
Tinda,60
Tobacco,4
Tomato,671
Tube Rose(Double),1
Tube Rose(Single),1
Turmeric,29
Turmeric (raw),3
Turnip,4
Water Melon,38
Wheat,639
Wheat Atta,2
White Peas,51
White Pumpkin,4
Wood,21
Yam,4
Yam (Ratalu),22
